σθ,σc,σt,SCF,B1,B2,Wet,MR
55.6,256.5,18.9,0.21676413255360624,13.571428571428573,0.8627450980392157,9.1,3
91.3,225.6,17.2,0.4046985815602837,13.116279069767442,0.8583196046128502,7.3,2
61.0,171.5,22.6,0.3556851311953353,7.588495575221239,0.7671303451828955,7.5,2
34.15,54.2,12.1,0.6300738007380073,4.479338842975207,0.6349924585218704,3.17,2
108.4,138.4,7.7,0.7832369942196532,17.974025974025974,0.8945927446954143,1.9,4
69.8,198.0,22.4,0.3525252525252525,8.839285714285715,0.7967332123411978,4.68,2
105.0,171.3,22.6,0.6129597197898423,7.579646017699115,0.7668901495616298,7.27,4
105.0,237.16,17.66,0.4427390791027155,13.429218573046432,0.8613923553881171,6.38,4
105.0,304.21,20.9,0.3451563064988002,14.555502392344497,0.871428132016856,10.57,4
25.49,54.2,2.49,0.4702952029520295,21.76706827309237,0.9121538190156994,3.17,2
72.07,147.09,19.98,0.48997212590930717,7.361861861861862,0.7608188184593284,6.53,3
21.8,160.0,5.2,0.13625,30.769230769230766,0.9370460048426151,2.22,1
20.9,160.0,5.2,0.130625,30.769230769230766,0.9370460048426151,2.22,1
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1
12.1,170.0,5.2,0.07117647058823529,32.69230769230769,0.9406392694063929,2.22,2
75.0,170.0,11.3,0.4411764705882353,15.044247787610619,0.8753447324875895,9.0,3
43.4,123.0,6.0,0.35284552845528455,20.5,0.9069767441860465,5.0,3
62.6,165.0,9.4,0.3793939393939394,17.5531914893617,0.8922018348623852,9.0,3
30.0,88.7,3.7,0.3382187147688839,23.972972972972972,0.9199134199134199,6.6,3
105.0,128.61,13.0,0.8164217401446232,9.893076923076924,0.8163971470941318,5.76,4
105.0,304.0,9.12,0.34539473684210525,33.333333333333336,0.941747572815534,5.76,3
105.0,306.58,13.9,0.34248809446147827,22.056115107913666,0.9132551173240141,6.38,4
7.5,52.0,3.7,0.14423076923076922,14.054054054054053,0.867145421903052,1.3,1
24.93,99.7,4.8,0.25005015045135404,20.770833333333336,0.9081339712918661,3.8,1
30.9,238.0,7.6,0.13,31.2,0.9381107491856678,7.4,0
64.5,215.0,9.0,0.3,24.0,0.9196428571428571,6.6,2
75.5,151.0,18.2,0.5,8.3,0.7848699763593382,3.1,1
68.5,185.0,7.7,0.37,24.1,0.9200830306175404,5.0,2
58.2,153.0,6.9,0.38,22.1,0.9136960600375233,5.1,2
75.6,194.0,8.9,0.39,21.7,0.9122720551996056,5.0,2
57.9,181.0,7.5,0.32,24.1,0.9204244031830239,9.3,1
73.1,203.0,8.3,0.36,24.6,0.9214387127307145,4.9,1
124.1,152.0,8.2,0.82,18.5,0.8976279650436955,3.8,1
72.6,173.0,8.0,0.42,21.7,0.9116022099447514,5.2,2
83.2,157.0,10.6,0.53,14.8,0.8735083532219571,9.0,2
54.9,183.0,9.0,0.3,20.4,0.90625,5.1,1
49.0,213.0,7.7,0.23,27.8,0.9302220208427731,7.8,0
62.7,196.0,9.0,0.32,21.7,0.9121951219512195,5.0,1
24.1,241.0,10.4,0.1,23.0,0.9172633253778838,5.7,0
50.5,187.0,8.6,0.27,21.7,0.9120654396728017,5.0,2
78.8,179.0,6.7,0.44,26.7,0.9278406031233173,5.5,1
31.2,156.0,13.9,0.2,11.2,0.8363743378457916,3.6,0
61.6,162.0,9.2,0.38,17.6,0.8925233644859815,9.0,2
78.1,192.0,6.5,0.41,29.7,0.9345088161209067,7.3,1
